,char_img,characters,id,img,lesson_pos,level,mean_mne,meanings,updated,url
456,https://cdn.wanikani.com/images/1041-subject-8795-normal-weight-black-original.png?1520987573,,8795,140,0,level_41,"The <radical>trident</radical> goes up, sticking through a fish (or whatever). AQUAAMANNNN!",Trident,2019-12-31T06:08:17.609947Z,h
457,https://cdn.wanikani.com/images/1404-subject-8796-normal-weight-black-original.png?1520988550,,8796,141,1,level_41,See the <radical>cactus</radical> coming out of the ground? It's happy to see you!,Cactus,2020-01-21T22:10:34.748422Z,h
458,,?,8856,,2,level_41,This radical is the same as the kanji. It means <radical>wife</radical>.,Wife,2019-12-31T06:08:19.524658Z,https://www.wanikani.com/radicals/wife
459,,?,384,,0,level_42,"This is a <radical>melon</radical>. Imagine a melon cut in half, and you're looking at its insides from the side. See those precious private melon parts? You're gonna keep those for yourself, because melons are delicious and not for sharing.",Melon,2019-12-31T06:03:52.900206Z,https://www.wanikani.com/radicals/melon
460,,?,385,,1,level_42,This radical is the same as the kanji. It means <radical>bone</radical>.,Bone,2019-12-31T06:03:52.926259Z,https://www.wanikani.com/radicals/bone
461,,?,386,,0,level_42,"This is the shell of a <radical>grenade</radical> that has blown up. BOOM! It exploded, splitting it down the middle.",Grenade,2019-12-31T06:03:52.951179Z,https://www.wanikani.com/radicals/grenade-386
462,,?,387,,2,level_42,"We already have a roof radical, so we're going to use the secondary kanji meaning for this radical. It's <radical>shop</radical>, remember?",Shop,2019-12-31T06:03:52.979085Z,https://www.wanikani.com/radicals/shop
463,https://cdn.wanikani.com/images/1407-subject-8798-normal-weight-black-original.png?1520988559,,8798,135,3,level_42,Look at this radical. Can you see it floating in space? Can you see the antennae and reflectors? That's because it's a <radical>satellite</radical>.,Satellite,2019-12-31T06:08:17.700025Z,h
464,,?,388,,0,level_43,You're sliding some dirt around with a tree you cut down. This contraption you've made is called a <radical>plow</radical>. Use it to push dirt around!,Plow,2019-12-31T06:03:53.005166Z,https://www.wanikani.com/radicals/plow
465,,?,389,,1,level_43,"Stand up on the moon so you can look down on your countries. The thing with all the lines and borders are the borders of all the countries you rule, for you are an <radical>imperial</radical>.",Imperial,2019-12-31T06:03:53.033010Z,https://www.wanikani.com/radicals/imperial
466,,?,412,,2,level_43,"You know the animal radical. This is just like that with a little extra. It's an animal already... which means all you have to do is remember what kind of animal. In this case, it's a <radical>badger</radical>.",Badger,2019-12-31T06:03:53.665058Z,https://www.wanikani.com/radicals/badger
467,,?,392,,0,level_44,"It's kind of hard to see, but if you look at this the right way it looks like a tin <radical>can</radical>. The lines in the middle show the circumference, and the lines on the tops and sides show the outline of the can.",Can,2019-12-31T06:03:53.104338Z,https://www.wanikani.com/radicals/can
468,,?,394,,1,level_44,A turtle that stands up isn't a turtle anymore. It's evolved into a monster. What kind of monster? A <radical>dragon</radical>! Rawwwr.,Dragon,2019-12-31T06:03:53.193359Z,https://www.wanikani.com/radicals/dragon
469,,?,416,,2,level_44,This radical is the same as the kanji. It means <radical>wind</radical>.,Wind,2019-12-31T06:03:53.764293Z,https://www.wanikani.com/radicals/wind
470,,?,396,,0,level_45,This radical is the same as the kanji. It means <radical>protect</radical>.,Protect,2019-12-31T06:03:53.245351Z,https://www.wanikani.com/radicals/protect
471,,?,397,,1,level_45,This radical is the same as the kanji. It means <radical>again</radical>.,Again,2019-12-31T06:03:53.270739Z,https://www.wanikani.com/radicals/again
472,,?,398,,2,level_45,This radical is the same as the kanji. It means <radical>house</radical>.,House,2019-12-31T06:03:53.294804Z,https://www.wanikani.com/radicals/house
473,,?,400,,0,level_46,This radical is the same as the kanji. It means <radical>favor</radical>.,Favor,2019-12-31T06:03:53.357238Z,https://www.wanikani.com/radicals/favor
474,,?,411,,1,level_46,This radical is the same as the kanji. It means <radical>fat</radical>.,Fat,2019-12-31T06:03:53.640071Z,https://www.wanikani.com/radicals/fat
475,,?,401,,0,level_47,This is the same as the kanji <radical>Task</radical>.,Task,2019-12-31T06:03:53.382437Z,https://www.wanikani.com/radicals/task-401
476,,?,402,,0,level_47,This radical is the same as the kanji. It means <radical>wave</radical>.,Wave,2019-12-31T06:03:53.411436Z,https://www.wanikani.com/radicals/wave
477,,?,431,,1,level_47,There are fins wrapped in a towel in winter. Who is drying these fish fins to eat them? A <radical>penguin</radical>.,Penguin,2019-12-31T06:03:54.211683Z,https://www.wanikani.com/radicals/penguin
478,,?,403,,0,level_48,What's under this lid that smells like poop? I don't know! How <radical>mysterious</radical>.,Mysterious,2019-12-31T06:03:53.437292Z,https://www.wanikani.com/radicals/mysterious
479,,?,404,,1,level_48,This radical is the same as the kanji. It means <radical>form</radical>.,Form,2019-12-31T06:03:53.464968Z,https://www.wanikani.com/radicals/form
